K,metric,mean,std,n,se,ci95_lo,ci95_hi
2,test_PR_AUC,0.8688136369926706,0.03072763588986226,100,0.003072763588986226,0.8627166073911866,0.8749106665941545
3,test_PR_AUC,0.880970985943877,0.02949724201157209,100,0.002949724201157209,0.8751180931814362,0.8868238787063178
4,test_PR_AUC,0.8796065094037219,0.02977150156794494,100,0.002977150156794494,0.8736991975951921,0.8855138212122516
5,test_PR_AUC,0.8788250348318801,0.029838228105916034,100,0.0029838228105916035,0.872904483030574,0.8847455866331863
6,test_PR_AUC,0.8814866050052733,0.028657879783560904,100,0.0028657879783560904,0.8758002599189666,0.88717295009158
7,test_PR_AUC,0.8824634236093059,0.028429481989453803,100,0.0028429481989453802,0.8768223976004763,0.8881044496181354
8,test_PR_AUC,0.8823765990355892,0.02863352732633506,100,0.002863352732633506,0.8766950860051265,0.8880581120660519
9,test_PR_AUC,0.8822589172053429,0.028586415238797985,100,0.0028586415238797984,0.8765867522351518,0.887931082175534
10,test_PR_AUC,0.8809561101406921,0.029291309587987906,100,0.0029291309587987906,0.8751440788388269,0.8867681414425572
11,test_PR_AUC,0.8803253397138786,0.029558755978399305,100,0.0029558755978399305,0.874460241245864,0.8861904381818932
12,test_PR_AUC,0.8800609841971142,0.02998028257220642,100,0.002998028257220642,0.8741122457078019,0.8860097226864265
13,test_PR_AUC,0.8794509509376185,0.029625074871353765,100,0.0029625074871353764,0.8735726933624428,0.8853292085127942
14,test_PR_AUC,0.8778343156189385,0.030066607405216533,100,0.003006660740521653,0.8718684484099261,0.883800182827951
15,test_PR_AUC,0.8774086202372401,0.029052007007514924,100,0.0029052007007514926,0.8716440717590482,0.8831731687154319
16,test_PR_AUC,0.8749472382248026,0.02945169334582715,100,0.002945169334582715,0.869103383305831,0.8807910931437741
17,test_PR_AUC,0.87423970730784,0.029822073882326168,100,0.002982207388232617,0.8683223608549625,0.8801570537607174
18,test_PR_AUC,0.8734356205638335,0.029818530931339102,100,0.0029818530931339103,0.8675189771092968,0.8793522640183702
19,test_PR_AUC,0.8763180429530177,0.029560450910124422,100,0.0029560450910124424,0.870452608173777,0.8821834777322585
20,test_PR_AUC,0.8752780327767045,0.03001404033029018,100,0.003001404033029018,0.8693225960158084,0.8812334695376005
21,test_PR_AUC,0.8741493225659478,0.029483008106901527,100,0.0029483008106901526,0.8682992541190004,0.8799993910128951
22,test_PR_AUC,0.8736960104271836,0.029575360153625756,100,0.0029575360153625756,0.8678276173305738,0.8795644035237934
23,test_PR_AUC,0.8727413847916894,0.02967108517404288,100,0.0029671085174042882,0.8668539977742593,0.8786287718091195
24,test_PR_AUC,0.872136057600978,0.029871097789357426,100,0.0029871097789357427,0.8662089837413641,0.8780631314605919
25,test_PR_AUC,0.8711023738531739,0.030541472860054982,100,0.003054147286005498,0.8650422830356401,0.8771624646707077
26,test_PR_AUC,0.8698312959232101,0.030860086701909387,100,0.0030860086701909387,0.8637079852070746,0.8759546066393455
