representation,classifier,sens_L2,sens_raw,sens_delta,prec_L2,prec_raw,prec_delta,auc_L2,auc_raw,auc_delta
hermite_20,LogisticRegression,0.5491071428571429,0.7669642857142858,0.21785714285714286,0.2821544987288574,0.2195317375307277,-0.0626227611981297,0.6105143332277478,0.5950764174849541,-0.01543791574279374
hermite_20,XGBoost,0.6669642857142857,0.7107142857142857,0.04375000000000007,0.2431401350496013,0.2356039047499948,-0.007536230299606511,0.6050671127652836,0.5973441954387076,-0.007722917326575929
hermite_40,GaussianNB,0.4928571428571429,0.9446428571428572,0.45178571428571435,0.2713334299019,0.2074111161432756,-0.06392231375862442,0.6038713573012353,0.5243397608489071,-0.07953159645232821
laguerre_40,GaussianNB,0.5071428571428571,0.9794642857142858,0.47232142857142867,0.2809374287496302,0.2012968311898907,-0.07964059755973948,0.6027894361735825,0.5086494298384542,-0.09414000633512831
hermite_40,kNN,0.5616071428571429,0.5660714285714286,0.004464285714285698,0.2600070178562264,0.2557937984656542,-0.004213219390572176,0.6023380582831802,0.5880068102629078,-0.014331248020272414
hermite_40,RandomForest,0.5455357142857143,0.8892857142857142,0.3437499999999999,0.2574906586080876,0.2006234282607693,-0.05686723034731833,0.5976540228064618,0.5109785793474818,-0.08667544345898004
hermite_20,RandomForest,0.5883928571428572,0.9857142857142858,0.3973214285714286,0.2402109722681384,0.2002177041421589,-0.0399932681259795,0.5870763382958505,0.5072448131137156,-0.07983152518213488
hermite_30,SVM_RBF,0.5696428571428571,0.7642857142857143,0.19464285714285723,0.2454815297468947,0.2418350621053968,-0.003646467641497897,0.5812044662654419,0.6320557491289198,0.05085128286347795
hermite_30,RandomForest,0.6544642857142857,0.9982142857142856,0.3437499999999999,0.2338713542500816,0.1998228348884116,-0.03404851936167,0.578608053531834,0.5034308679125752,-0.07517718561925879
hermite_50,kNN,0.5303571428571429,0.6526785714285714,0.12232142857142858,0.2382642810678182,0.2290192873279551,-0.009244993739863094,0.5771400855242319,0.5804689974659487,0.0033289119417168056
laguerre_50,GaussianNB,0.3205357142857142,0.96875,0.6482142857142859,0.2110225173780989,0.2035210842750398,-0.007501433103059119,0.5695121951219513,0.513799691162496,-0.05571250395945526
hermite_30,GaussianNB,0.4803571428571428,0.8428571428571429,0.36250000000000004,0.2391522216120656,0.1892343239322355,-0.0499178976798301,0.5629711751662971,0.5521321666138739,-0.010839008552423257
hermite_30,LogisticRegression,0.3678571428571428,0.8955357142857142,0.5276785714285714,0.2432063273110944,0.2168982810972653,-0.026308046213829095,0.562802898321191,0.5877237092176116,0.02492081089642062
hermite_20,GaussianNB,0.3982142857142857,0.6767857142857143,0.27857142857142864,0.2351508697610978,0.144056309006159,-0.0910945607549388,0.5609449239784605,0.5800542445359518,0.01910932055749126
