K,metric,mean,std,n,se,ci95_lo,ci95_hi
21,test_ROC_AUC,0.9395422461019806,0.018084564357041734,100,0.0018084564357041734,0.9359538761860507,0.9431306160179104
22,test_ROC_AUC,0.9390265486725664,0.01838966287666701,100,0.001838966287666701,0.9353776405911822,0.9426754567539506
23,test_ROC_AUC,0.9387626422250317,0.01808330093396184,100,0.001808330093396184,0.9351745229996511,0.9423507614504123
24,test_ROC_AUC,0.9386351664559629,0.01830520901841113,100,0.001830520901841113,0.9350030158522965,0.9422673170596293
25,test_ROC_AUC,0.9391136395561175,0.01827885796712306,100,0.0018278857967123062,0.9354867175727168,0.9427405615395181
26,test_ROC_AUC,0.9381753055204382,0.017992504613667446,100,0.0017992504613667446,0.9346052022548446,0.9417454087860317
27,test_ROC_AUC,0.9394792105632814,0.017771462852360354,100,0.0017771462852360354,0.9359529667786672,0.9430054543478956
28,test_ROC_AUC,0.9387722994802641,0.01787679954590904,100,0.0017876799545909039,0.9352251546103536,0.9423194443501746
29,test_ROC_AUC,0.9399942056468604,0.017763980059993904,100,0.0017763980059993904,0.9364694466105922,0.9435189646831287
30,test_ROC_AUC,0.9389677272088777,0.017403675976130586,100,0.0017403675976130587,0.9355144603197021,0.9424209940980532
31,test_ROC_AUC,0.9384876738305943,0.01739167830187463,100,0.001739167830187463,0.9350367875402825,0.941938560120906
32,test_ROC_AUC,0.938980545020368,0.017215986377051427,100,0.0017215986377051428,0.9355645198196053,0.9423965702211307
33,test_ROC_AUC,0.938857985672145,0.016927113008263633,100,0.0016927113008263633,0.9354992792149034,0.9422166921293865
34,test_ROC_AUC,0.9383192864166315,0.01711035464018694,100,0.001711035464018694,0.9349242208441602,0.9417143519891029
35,test_ROC_AUC,0.9385041789577189,0.0170325296831955,100,0.0017032529683195501,0.9351245555451393,0.9418838023702985
36,test_ROC_AUC,0.938056784660767,0.01691327623850856,100,0.0016913276238508562,0.9347008237188358,0.9414127456026983
37,test_ROC_AUC,0.938281184155078,0.016941284683736943,100,0.0016941284683736943,0.9349196657299658,0.9416427025801902
38,test_ROC_AUC,0.9378775108863604,0.016949087748257888,100,0.0016949087748257888,0.9345144441639585,0.9412405776087623
39,test_ROC_AUC,0.9379658308751229,0.016465162435388668,100,0.0016465162435388668,0.9346987854336306,0.9412328763166151
40,test_ROC_AUC,0.9377089478859391,0.016795339977833588,100,0.0016795339977833587,0.9343763880567716,0.9410415077151065
41,test_ROC_AUC,0.9382825888467481,0.016769295675956933,100,0.0016769295675956933,0.9349551967721083,0.9416099809213879
