K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
39,0.3339802694320679,0.005014283319648154,0.8095686768296534,0.0340351922856643,0.9038277848012362,0.02001257897634515,0.6392199705296686,0.1910716205086338,0.07842488045134485,0.008685427790435987,0.6771901236867691,0.07298493422431972,0.7747619047619048,0.05539246314334539,0.9038938053097345,0.03802510375573847,0.12903629536921152,0.036641592649566596,0.7615524065926123,0.06564401671760005,0.715952380952381,0.06529326408320314,0.9419469026548672,0.024400437149885438,0.2023028785982478,0.07114351254954296
40,0.3354225826263428,0.006189947523073996,0.8073565112182223,0.03432025938847203,0.9037069813176007,0.020204859031489657,0.640233976690397,0.2051448701103145,0.07869456019881821,0.00866462322088892,0.677178309812684,0.08314153487200332,0.7736904761904762,0.0587490463369242,0.9025958702064897,0.04326446280989828,0.13013767209011265,0.03798765377340164,0.7712518911632573,0.05528317078585097,0.707857142857143,0.06383878992587988,0.9464011799410029,0.018271174852246164,0.2064956195244055,0.06584884193702824
41,0.3344764542579651,0.005382545013501171,0.8069915498167033,0.03469382414372199,0.9030808400056187,0.0202831997760922,0.647335299032643,0.1984412948831256,0.07892215649992326,0.008746349745505979,0.6662352140389974,0.08454800873749115,0.7765476190476189,0.061867172329684035,0.8970501474926253,0.04464921253731291,0.12560700876095118,0.03923566103000687,0.7706796493697935,0.061867818985397345,0.7104761904761905,0.06228285763630978,0.9453982300884956,0.02320253286465328,0.20600750938673343,0.06985900225643778
42,0.33395642280578614,0.004706257645759354,0.8053802293796666,0.03408593506811866,0.9024000913049585,0.02037555484983975,0.6380792834333459,0.2002589106634991,0.07934517448197831,0.008688829211299343,0.6667937965766889,0.08210500545092672,0.775357142857143,0.058337259735729535,0.8979351032448377,0.04345302952225214,0.12325406758448061,0.035754257083579516,0.771143223431789,0.05111260956619119,0.7057142857142857,0.057082700417956024,0.9467256637168141,0.0176882856731975,0.20508135168961203,0.05501508678366319
43,0.3346166729927063,0.005895679726322494,0.8019623200235375,0.035750275842785416,0.8985665121505829,0.021156313238244462,0.6883210494531552,0.21184215231431108,0.07982181892908087,0.008860908477645695,0.6751190869604676,0.07349007197944676,0.7717857142857143,0.05919957386887354,0.9032743362831859,0.03785857651110771,0.12734668335419275,0.03526496385268471,0.7615582611198541,0.053001585231307664,0.7160714285714286,0.05311520772305599,0.9431563421828909,0.017836908862348996,0.19170212765957448,0.04522458638365626
44,0.3351216173171997,0.006108241589272829,0.8034943488668499,0.035955119002475174,0.898601980615255,0.021748680101581472,0.6851631390275749,0.21279791224923522,0.07986091070673834,0.00877354143531014,0.6764457327356307,0.07262321526198344,0.774047619047619,0.058736495894596466,0.9037463126843658,0.0364181092964053,0.12644555694618273,0.03361947090517809,0.7703743098662573,0.055603897122049106,0.7080952380952381,0.056360891416938994,0.9463421828908554,0.018114835076772997,0.19919899874843555,0.04455654688418068
45,0.3351181983947754,0.005304134931529201,0.8028918338885537,0.03660407646578839,0.9001406447534767,0.02174455544211213,0.6740158246191483,0.21093966529654465,0.08010044028873882,0.008857498606496294,0.667826675330724,0.07015735946095021,0.7752380952380952,0.05753731895429115,0.9002359882005899,0.03517499607206676,0.12291614518147685,0.035839482084384054,0.76562994069902,0.057866873164770176,0.7105952380952381,0.055727804504339756,0.9445722713864306,0.01970718335050434,0.1960700876095119,0.04685938927093168
46,0.33449817419052125,0.005381047497744273,0.8008908133122741,0.03719981500094031,0.8977337055766259,0.023032791933736273,0.6990689937540657,0.22019617600882493,0.0804677204690761,0.008964090269255745,0.6713832179677616,0.07549422378088334,0.77,0.06312756121607253,0.901268436578171,0.04044298219648458,0.12757196495619524,0.04194321075235012,0.7648169922370163,0.05524518534287659,0.7098809523809524,0.05816523176920739,0.944424778761062,0.018893948418407646,0.19729662077597,0.05427602259539287
47,0.3346084117889404,0.005556010511941733,0.8006847577182189,0.036474443872672936,0.8985489535047058,0.023026708539616563,0.6816176173558144,0.22259469484139663,0.08057236768963941,0.008924971866070398,0.6733400598362035,0.07388595825974856,0.7692857142857144,0.06209640296124377,0.902684365781711,0.038161964430835874,0.12968710888610763,0.03601233890740016,0.7533841906365614,0.05743155934705086,0.7123809523809524,0.05955314332518656,0.9405014749262537,0.020888314741740698,0.18962453066332915,0.049293242554549005
48,0.3407543921470642,0.031269650416991444,0.7992396853935203,0.036502732562448445,0.896606264924849,0.022864049932914795,0.6931806125296651,0.21495070944280192,0.08124906607833875,0.008986489915073429,0.6633265749389692,0.07611472259443076,0.7661904761904762,0.05719394061065745,0.8987905604719764,0.03787807354735021,0.1265456821026283,0.037678137658426654,0.7635816810624995,0.056718908868459914,0.7023809523809524,0.05922242120989179,0.9447197640117995,0.018369838380915774,0.19951188986232793,0.05392787743141337
49,0.33679664611816407,0.016996889660607875,0.7982237827910795,0.036492522740548886,0.8969765767663997,0.021948184456246012,0.6624033685911934,0.20343048665682348,0.08165970447279389,0.00904660081526594,0.6675410270051673,0.07097590837645662,0.7616666666666667,0.060038181580061134,0.9016519174041298,0.03582576062048731,0.1286357947434293,0.037572453538096934,0.7585813730939313,0.05599604469215218,0.705595238095238,0.06005904143656418,0.9429498525073747,0.01786824625710751,0.19847309136420527,0.06408007543361809
50,0.3389375948905945,0.031228771525568185,0.7979794199328218,0.036221066871301145,0.896401179941003,0.021588277114369715,0.6651729943711053,0.1990645386982344,0.081894708003291,0.009080404880967605,0.6671735543404717,0.07297442484184527,0.7621428571428571,0.05733044006640739,0.9011209439528024,0.03748804672132844,0.1276846057571965,0.03690340757252703,0.7563914623733468,0.05257185868240931,0.7036904761904762,0.05794923163769439,0.9427138643067846,0.016845103484937465,0.1987984981226533,0.05651117485288501
51,0.3353037476539612,0.006422260069106345,0.7974810742118454,0.03682516321109463,0.8966315493749122,0.02229340714817422,0.6576203397145735,0.20742299869265032,0.08209175999338378,0.009012416081001432,0.6680836774208959,0.07243176785486258,0.7623809523809524,0.058710655472313404,0.9015929203539822,0.03740363913515756,0.1297622027534418,0.03706678578753303,0.7586037294008873,0.049629245120009505,0.6998809523809524,0.05643234624279629,0.9438053097345133,0.015879215985957377,0.2024030037546934,0.05763269179359734
52,0.335724983215332,0.0062013440353065365,0.7981376015062165,0.03604867432412646,0.8969843025705857,0.022142050048770463,0.6540510398775784,0.2071945050624734,0.08195619276752492,0.008935866485324911,0.6617205605446663,0.07224235865966042,0.7611904761904762,0.05614049921184928,0.8988495575221239,0.03885085716581161,0.1260951188986233,0.03401339656217275,0.753071684111919,0.059177561186251434,0.7020238095238095,0.061206494965787166,0.9411799410029498,0.020071875516047374,0.19916145181476846,0.06292608966709382
53,0.33594552278518675,0.007234324116587784,0.7959719085295967,0.035787281586912634,0.8960164700098328,0.021392960005606535,0.6368528390576446,0.20036784641308164,0.08232665435796518,0.00894929870373499,0.6560118030683469,0.07237141768617258,0.7608333333333333,0.05393681178130616,0.8964896755162242,0.03765091370378396,0.1266958698372966,0.03319434476297504,0.7469285544473128,0.06442980440390833,0.7063095238095238,0.05968124921849475,0.9385545722713864,0.02318191603401545,0.1944055068836045,0.058578396026694825
54,0.3352005791664123,0.0037526681902369384,0.7950581213598713,0.03598594775719136,0.8951074589127687,0.02132899018913844,0.6540738983515675,0.1976373375404322,0.08246552390512644,0.008892398779361248,0.6624330469566214,0.07818065267738447,0.7588095238095238,0.05636444726107187,0.8986725663716814,0.04202030124452622,0.13130162703379222,0.04069051473599219,0.7501539287251683,0.059729891061276595,0.7019047619047619,0.058856772376641976,0.94023598820059,0.02150028413944995,0.19897371714643305,0.058362975519138716
55,0.3353216958045959,0.00487985869354938,0.7925735891113429,0.03622781424693075,0.8942872945638431,0.02132685218297067,0.6605737368134429,0.19616174215552795,0.08311576922482394,0.008968492091460193,0.6532855230519908,0.0735563257721439,0.7567857142857143,0.05771059852144715,0.8953982300884955,0.03944610955696841,0.12778473091364206,0.039465245445447876,0.7488420993650149,0.05690152798448946,0.6971428571428571,0.05758805251590185,0.9404129793510324,0.01935937366783811,0.20041301627033792,0.061888374726271775
