K,runtime_s_mean,runtime_s_std,test_PR_AUC_mean,test_PR_AUC_std,test_ROC_AUC_mean,test_ROC_AUC_std,test_LogLoss_mean,test_LogLoss_std,test_Brier_mean,test_Brier_std,youden_test_Precision_mean,youden_test_Precision_std,youden_test_Sensitivity_mean,youden_test_Sensitivity_std,youden_test_Specificity_mean,youden_test_Specificity_std,youden_val_thr_mean,youden_val_thr_std,f1_test_Precision_mean,f1_test_Precision_std,f1_test_Sensitivity_mean,f1_test_Sensitivity_std,f1_test_Specificity_mean,f1_test_Specificity_std,f1_val_thr_mean,f1_val_thr_std
36,1.1827778887748719,0.117355385742354,0.8943279842189078,0.02721380256338368,0.9448439036381514,0.01652639858218298,0.20697117607079454,0.024278357030227585,0.05307170242036942,0.006243977023985204,0.8088492827091727,0.06965107739132166,0.8405952380952381,0.043696519405958784,0.9484070796460177,0.02406169439461574,0.275563407675093,0.05644064490002026,0.8804012260730726,0.05372454485923234,0.8048809523809524,0.04921260375461697,0.9717109144542774,0.015428449010929029,0.37372894847181043,0.07690430034126898
37,1.1960811829566955,0.10354340349824216,0.8940998698950615,0.027410610077415565,0.9446986936367467,0.01623451624335662,0.2098453062293845,0.02521467779230802,0.053340438648656334,0.006211561146978946,0.7958554814876319,0.07253035902551876,0.8461904761904762,0.04042168754998999,0.9435398230088495,0.026314298404165944,0.2634070737168449,0.05398683837798857,0.8826255710450542,0.05299923494260711,0.8029761904761905,0.04994829434452537,0.9724188790560472,0.014979138864446299,0.37470811160633033,0.06984383554668021
38,1.1854947090148926,0.10951513151051584,0.8941206218517975,0.027097006029622745,0.9448505759235847,0.015940903320866097,0.20766401317075775,0.021388872504355567,0.05356282678966868,0.006212809028237961,0.8075185320579712,0.0701466145998737,0.8425,0.043891341661863634,0.9478171091445428,0.02551960405809697,0.27340561475984254,0.05532057564500781,0.8821957155506759,0.04857734729862123,0.8001190476190476,0.05289698912798104,0.9725073746312684,0.0135658232341529,0.37608019278018723,0.07725857829003022
39,1.1904659390449523,0.10775212494037681,0.892813171295727,0.027538517967324563,0.9443102963899425,0.016179161217197452,0.21041285315561395,0.022684729859674395,0.05390584889617424,0.006200735969055606,0.8147369224440523,0.06708586008063094,0.8396428571428571,0.04410608031038713,0.9505014749262537,0.02295530637874887,0.28027454347708197,0.054365036286478104,0.8877418081681532,0.05052235755540668,0.795,0.053576906352405404,0.9740117994100295,0.01413577673480312,0.38749229931981477,0.07322578805255481
40,1.1717031192779541,0.11526313130007092,0.8929873660164637,0.027505128719380312,0.9441859811771316,0.01632784575564928,0.20989182366831868,0.021953828598888458,0.05412321943071387,0.006099872380734662,0.8049425101705969,0.07325678560562403,0.8404761904761905,0.04463985078862343,0.9467551622418878,0.026362203495723133,0.2729477989869247,0.059531545558187654,0.8822062563090417,0.05159224613978198,0.798452380952381,0.056835769970696184,0.9724188790560472,0.014724659913345081,0.37604597181152344,0.07396727844956678
41,1.226493058204651,0.11138028581074572,0.893437183072868,0.027389181104362025,0.9445984337687878,0.016428612085344324,0.21050075681204197,0.027344030236716485,0.053568623381924946,0.006207035222118933,0.8033669107162585,0.06683569101258902,0.8427380952380952,0.04298305351193138,0.9466961651917404,0.02320541169891883,0.26950340911206616,0.05544990798679756,0.8895413433410215,0.049204859620992525,0.7976190476190476,0.05477706463521589,0.9744837758112094,0.013392991927976232,0.38342703573729187,0.07750238525624197
42,1.206104211807251,0.13739432102175586,0.8932879390702534,0.027145790814662018,0.9443397949150162,0.01616392819418107,0.20966662086041715,0.023426789569663153,0.05366359961962187,0.006228045878867628,0.8070536812802271,0.06723198496576646,0.8439285714285714,0.040393876916923664,0.947905604719764,0.022999832442380415,0.2697279520815452,0.05216228977448025,0.8848394397187503,0.04839334758093009,0.7970238095238095,0.05726535591135641,0.9733038348082595,0.013373289097259568,0.3777250449555855,0.07621876985366913
43,1.2104964208602906,0.1307542018042732,0.8926406088844133,0.027481669393119336,0.9443102963899425,0.01615360305345126,0.20934450954139613,0.020658425878593744,0.0539999415481621,0.006078916176339913,0.8061140862849941,0.07055725795125216,0.8425,0.04346526886564638,0.9471976401179941,0.025878058558800796,0.26876438227869015,0.0539681029550468,0.884401577035107,0.04846953904422002,0.7977380952380951,0.05164263321879596,0.9731268436578171,0.013790825371381845,0.37743600403042654,0.07434639153234453
44,1.238928518295288,0.12426414186319065,0.8925475070172573,0.02716619639074027,0.94394735917966,0.01639146336750742,0.21286328126945342,0.024069686229454528,0.054201487515613246,0.006173862798099155,0.8051412753679219,0.06944242849154364,0.842857142857143,0.04141250732103538,0.9471681415929203,0.024509035948050806,0.27032690649296265,0.04937721310658411,0.8817856135047148,0.04932047239588393,0.800952380952381,0.053349307028622915,0.9723598820058997,0.013979212772655913,0.3700832942081834,0.07416673312566775
45,1.2260375285148621,0.1267653182746901,0.8922645743909697,0.026984220517019483,0.9438832701222082,0.01611086609134004,0.21286122678153468,0.024708660698842838,0.0544585770245417,0.006111932000823322,0.8036015598495623,0.06789183109558392,0.8435714285714286,0.041962633308646476,0.9466076696165192,0.024069017368705082,0.268373688736174,0.05217320836057703,0.8821376438359683,0.04989507604870033,0.7970238095238095,0.053517957387976677,0.9725368731563422,0.013998313929441474,0.37517036442791984,0.07584808542895644
46,1.2254363179206849,0.128304141087361,0.8924979794532928,0.027308366503601328,0.9439215479702205,0.01643272742713749,0.2129416078089428,0.023802844675365902,0.05459169533794968,0.006039764685799092,0.7986710068068795,0.07266198303574486,0.8435714285714286,0.04123999920066521,0.9446607669616519,0.026761756243408544,0.269603429964333,0.05343044450754965,0.8847344590188372,0.04999506590583166,0.7954761904761906,0.05319613614970051,0.9732743362831858,0.014210969133901043,0.3767569522932808,0.07206669472498563
47,1.2128626751899718,0.1284390499173156,0.8920325734408486,0.027687367252180788,0.9436989043404972,0.01607996527451112,0.21479648447766156,0.025943286794989005,0.054829800499941524,0.006152892963430272,0.8122669119575936,0.0631164230691722,0.8397619047619048,0.04055392473346421,0.9500589970501475,0.02112347317379698,0.27556434741923835,0.04622453267764262,0.8837521282055151,0.0471071399933111,0.7975,0.0519190961668539,0.9731268436578171,0.01303054742790979,0.37288002133680354,0.06698864473577526
48,1.2380412602424622,0.12755502988234232,0.8908887937472367,0.027745306006127447,0.9433256075291473,0.016384718193004,0.21461802349450604,0.02437321444772344,0.055163869706211684,0.0061147612040454566,0.8037968298586794,0.07126118423635153,0.8427380952380952,0.04288302222215658,0.9466076696165192,0.024961759391583873,0.2698198143425568,0.04683082733784555,0.8839092338011494,0.04947957034697277,0.7979761904761905,0.05517948886320498,0.9729793510324484,0.013967041029621688,0.37177309294288996,0.07039785189838631
49,1.2076544332504273,0.13964940700438197,0.891811274779354,0.027567840160154712,0.9439496418036241,0.01650567285247683,0.21603284117387958,0.027381069503154904,0.05524438677201094,0.006094391795439551,0.8118057266741736,0.0629975241121101,0.8421428571428571,0.039342700663110866,0.9499115044247788,0.02123024563142258,0.2750101108035679,0.04626195366101346,0.8828896670962699,0.048084603199684606,0.7973809523809524,0.05081788292829964,0.9728613569321535,0.013540660725207142,0.3724082542357989,0.07021672128488549
50,1.2460475015640258,0.13000013365001323,0.8921917118370816,0.02761561211345038,0.9437691389240063,0.016386251650482873,0.21216017889990624,0.02274046109161284,0.05469584193084262,0.006141246763325017,0.8066856587562584,0.07025016579831696,0.8419047619047619,0.0420668952311147,0.9475811209439527,0.025026307489820133,0.2689011613207978,0.04837212895705821,0.883329359594204,0.049702624926955416,0.7969047619047619,0.054667714969510416,0.9728908554572271,0.013853144456652065,0.37026375983143084,0.07004078164074168
51,1.2732537150382996,0.1341588860063809,0.8917340819364948,0.02749836261313877,0.943764749262537,0.016505224916680866,0.2131859023027991,0.026502468876673593,0.05495130987451853,0.006141770455322606,0.801758426123543,0.06794399578634581,0.8419047619047619,0.03964933675868032,0.9462536873156343,0.023559978165380004,0.26651546737311005,0.04714925778346822,0.8802657902540985,0.05098561765725414,0.7986904761904762,0.049623949473473844,0.971976401179941,0.014635597898840997,0.36964871701089114,0.07208176876848472
52,1.2640005493164062,0.11495689928668278,0.8916544906073726,0.028146551764558537,0.9436871400477596,0.016702264526973043,0.2140546848432009,0.022914994481436482,0.05518658696167891,0.006141756913310525,0.8050833880801089,0.0701451314541905,0.840952380952381,0.039881176727560634,0.9471976401179941,0.02472826841564744,0.2724701075135651,0.05170141963800466,0.8775999450761158,0.05047724512301218,0.8011904761904762,0.052303826205070646,0.9712684365781711,0.01404172860045462,0.36329973973012436,0.07107804933268055
53,1.255075511932373,0.12715206234217027,0.891368882189762,0.027501759694941043,0.9437889801938475,0.016467727261535177,0.2144827953751194,0.023672714107611667,0.05540108955205134,0.0060508061573259315,0.8019475456964519,0.06995348989832866,0.8419047619047619,0.04141527267159912,0.9461356932153392,0.025231852793344483,0.2703550496733989,0.05069684719425521,0.8793604981802232,0.049010142405245746,0.7988095238095237,0.05186405948314442,0.971858407079646,0.013864084894130027,0.36716488743012426,0.06860288631120352
54,1.2581501269340516,0.15723035324338897,0.8908432495172336,0.028408998211265822,0.9436585194549797,0.01686909580041183,0.21533245164742418,0.024840528513552916,0.05567034646351956,0.0061977078680233435,0.7960379505809589,0.06867373709958965,0.842857142857143,0.04257159966521557,0.9441297935103244,0.024878237736063735,0.26634923474067357,0.0474769117019732,0.8822179954038322,0.05030363822757935,0.7933333333333333,0.05671638192491429,0.9726548672566372,0.014198810351208901,0.37150654683070927,0.07348867590077202
55,1.2536538767814636,0.12143997680770598,0.8913538323483315,0.027708717760587295,0.9440167158308752,0.01627390578350144,0.21668984336604302,0.029817838299450082,0.05573381413583311,0.00603827325170301,0.806588242272972,0.06273666738176602,0.84,0.040831841573542894,0.9482300884955752,0.02207616794402509,0.27099869182975334,0.04240129825636344,0.877123863060151,0.04994910896411045,0.8005952380952381,0.053758158877439476,0.9711209439528024,0.014213906718872694,0.36173986047490575,0.06970030448555366
